weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
5047.0,2024-03-25 13:45,London,Spring,10.5,65.0,0.1,15.2,46673,Fog,997.6
5048.0,2024-01-05T16:00:00Z,London,Winter,6.7,93.0,1.0,11.3,,Rain,999.9
5049.0,2024-01-29 21:20,,Winter,-0.7,20.0,15.5,31.5,,Rain,986.5
5050.0,23/04/2024 11PM,London,Spring,17.1,29.0,1.4,39.0,1905,Clear,998.8
5051.0,2099-13-58 63:90,London,Autumn,12.5,85.0,3.2,28.8,7592,Clear,987.1
5051.0,2099-13-51 76:82,London,Spring,12.2,35.0,2.8,47.9,6021,Clear,984.4
5053.0,2024-05-02 12:40,London,Spring,16.1,45.0,3.5,4.2,3310,Rain,1009.0
5054.0,2024-03-27 10:57,London,Spring,12.7,71.0,176.5,26.5,2598,Clear,1015.5
5055.0,2099-13-67 26:87,London,Winter,1.0,85.0,3.9,23.0,7081,Clear,1010.8
5056.0,2024-02-28 23:59,London,Winter,1.3,36.0,1.9,,884,Clear,1001.2
5057.0,2024-09-01 17:09,London,Autumn,13.3,66.0,0.6,32.2,904,Rain,1042.1
5058.0,24/04/2024 08AM,London,Spring,10.9,21.0,1.0,30.7,9698,Fog,1012.6
5059.0,2024-07-21 14:20,London,Summer,20.3,44.0,2.3,9.4,7819,,1036.2
5060.0,2024-02-28 05:46,London,Winter,2.0,64.0,6.9,35.3,8305,Clear,1013.2
5061.0,2024-03-09 23:45,London,Spring,60.0,88.0,74.8,31.8,4498,Clear,1008.2
5062.0,2024-06-17 11:26,London,Summer,22.3,48.0,0.1,21.2,2477,Rain,1010.4
5063.0,2024-01-15 08:39,,Winter,0.5,100.0,1.7,60.9,6740,Rain,1028.4
5064.0,2024-01-09 02:51,London,Winter,4.2,94.0,7.8,16.5,9075,Rain,995.1
5065.0,28/03/2024 09AM,London,Spring,14.9,38.0,2.2,14.8,8086,Clear,1025.3
5066.0,2099-13-92 75:98,London,Autumn,14.4,-10.0,0.5,20.0,1852,Fog,1002.9
5067.0,2024-10-28 10:56,London,Autumn,,-10.0,0.4,19.8,7329,Clear,1036.1
5068.0,2024-05-14 22:47,London,Spring,11.3,33.0,14.7,,2464,Rain,1008.7
5069.0,20/08/2024 01PM,London,Summer,22.3,56.0,0.6,14.7,39808,Clear,999.4
5070.0,2024-01-18 17:44,London,Winter,2.4,54.0,0.6,21.2,85,Rain,
5071.0,2024-03-21 16:00,London,Spring,-30.0,55.0,16.4,8.1,7935,Clear,1006.1
5072.0,2099-13-81 56:84,London,Autumn,12.5,94.0,16.5,19.7,5976,Rain,
5072.0,2024-03-16 17:28,London,Spring,12.5,37.0,17.4,150.0,965,Rain,1042.0
5074.0,2024-01-31T11:30:00Z,London,Winter,4.9,81.0,3.0,37.5,9375,Clear,1049.3
5075.0,2024-04-02 14:30,London,Spring,12.2,21.0,4.8,32.7,228,Clear,970.5
5076.0,2024-03-14T03:45:00Z,London,Spring,11.2,54.0,4.4,2.2,3636,Rain,1020.2
5077.0,2024-01-08 09:48,London,Winter,4.4,26.0,2.7,43.9,5546,Storm,1036.6
5078.0,2024-05-31 16:36,London,Spring,11.3,54.0,21.8,150.0,5106,Clear,978.7
5079.0,2024-05-03 16:00,London,Spring,-30.0,84.0,17.5,41.0,662,Fog,964.0
5080.0,2024-07-19 13:26,London,Summer,17.6,40.0,1.6,16.7,7381,Snow,1013.9
5081.0,2024-03-15 20:08,London,Spring,11.4,29.0,3.0,,5121,Snow,985.6
5082.0,2024-02-22 14:34,London,Winter,3.8,31.0,5.6,300.0,2351,Rain,
5083.0,2024-03-11 10:54,London,Spring,10.4,99.0,5.6,13.0,749,Fog,1036.6
5084.0,2099-13-40 44:66,London,Autumn,11.6,31.0,4.0,33.7,1825,Clear,1016.3
5085.0,2024-02-14 03:10,London,Winter,6.2,55.0,1.2,30.8,9898,Clear,1034.2
5086.0,,London,Winter,-50.0,30.0,2.5,2.7,3557,Snow,1017.0
5087.0,,London,Spring,7.1,88.0,7.7,47.8,212,Snow,985.4
5088.0,2024-05-16 16:13,London,Spring,8.2,,3.1,16.0,6708,Clear,1035.5
5089.0,2099-13-80 82:97,London,Spring,8.9,68.0,1.4,21.9,6010,Clear,994.2
5090.0,18/06/2024 09AM,London,Summer,19.8,86.0,5.5,32.3,2714,Clear,996.7
5091.0,2024-05-14 19:40,London,Spring,11.1,-10.0,0.5,15.3,8974,Clear,992.3
5092.0,2024-08-07 10:29,London,Summer,25.2,80.0,0.2,17.1,6534,Rain,1030.0
5093.0,2099-13-56 64:86,London,Autumn,,86.0,6.9,150.0,,Clear,1002.1
5094.0,2024-04-15 12:15,London,Spring,60.0,40.0,3.3,5.3,4313,Clear,1045.9
5095.0,2024-04-09 07:26,London,Spring,11.9,30.0,0.2,300.0,3683,Clear,1024.5
5096.0,2024-04-09T09:04:00Z,London,Spring,13.3,94.0,3.6,7.0,3009,Rain,1014.6
5097.0,2024-03-04 04:28,London,Winter,0.5,73.0,2.4,7.5,2977,Clear,1000.1
5098.0,2024-02-19 20:43,London,Winter,,52.0,,19.6,6028,Fog,1031.2
5099.0,2024-03-24T09:00:00Z,London,Spring,10.3,90.0,3.9,16.6,28195,Rain,992.3
5100.0,2024-04-07 10:08,London,Spring,12.0,-5.0,1.7,42.0,6325,Clear,986.8
5101.0,2024-01-20 23:43,London,Summer,20.1,87.0,1.4,18.4,1240,Clear,1000.0
5102.0,2024-01-25 09:37,London,Winter,1.3,49.0,1.0,8.1,1275,Clear,1002.1
5103.0,2099-13-52 50:63,London,Summer,13.3,61.0,,27.2,126,Clear,1001.5
5104.0,2099-13-98 92:62,London,Autumn,13.1,55.0,0.9,24.5,4939,Rain,1017.2
5105.0,2024-02-10 14:29,London,Winter,4.8,33.0,1.0,8.6,6093,Clear,980.4
5105.0,15/01/2024 01PM,London,Winter,2.6,53.0,0.6,3.7,7598,Clear,1029.0
5107.0,2099-13-97 77:88,London,Spring,19.5,200.0,0.3,3.3,4021,Clear,1033.1
5108.0,,London,Spring,11.1,63.0,1.5,35.4,7488,Clear,1028.4
5109.0,,London,Spring,8.1,41.0,136.6,6.6,321,Fog,1016.4
5109.0,13/03/2024 03AM,London,Spring,12.7,39.0,1.0,17.8,6317,Fog,1009.9
5111.0,2024-02-26 05:50,London,Winter,3.3,34.0,1.1,11.9,3760,Clear,1023.9
5112.0,2024-03-11 07:57,London,Spring,15.1,56.0,,30.6,5052,Fog,1006.5
5113.0,2024-04-29 08:15,London,Spring,-50.0,53.0,2.9,9.4,66,Rain,968.4
5114.0,2024-03-26 14:16,,Spring,8.5,32.0,11.5,16.9,8020,Rain,1017.7
5115.0,2024-03-14 19:54,London,Spring,14.4,54.0,,250.0,8206,Snow,983.4
5116.0,2024-12-24 06:49,London,Winter,5.4,100.0,0.7,250.0,5476,Fog,1025.7
5117.0,2024-01-01 11:48,London,Winter,8.2,64.0,124.8,19.1,,Clear,1018.0
5118.0,2024-04-16T11:47:00Z,London,Summer,22.2,20.0,,7.9,8274,Fog,1006.0
5119.0,2024-05-07 21:38,,Spring,14.6,80.0,8.6,13.4,49262,Clear,993.4
5120.0,09/03/2024 11PM,London,Spring,14.4,90.0,6.4,7.4,7208,Rain,980.4
5121.0,23/12/2024 02AM,London,Winter,3.2,91.0,2.1,2.6,9558,Snow,1042.9
5122.0,2024-03-23 13:21,London,Spring,,86.0,3.5,6.0,1645,Clear,1048.6
5123.0,2024-03-26 11:28,London,Spring,14.0,91.0,12.8,8.4,5143,Rain,1022.4
5124.0,2024-01-23 02:24,London,Winter,6.5,33.0,13.6,10.9,3065,Clear,1050.0
5125.0,04/04/2024 09PM,London,Spring,13.8,50.0,2.5,14.7,9696,Clear,1004.5
5126.0,2024-03-24 00:42,London,Spring,10.0,21.0,3.9,3.1,31623,,987.2
5127.0,,London,,2.0,87.0,6.7,3.8,2344,Clear,1007.8
5128.0,,London,Autumn,11.5,84.0,2.7,4.8,6665,Clear,1050.0
5129.0,07/09/2024 05PM,London,Autumn,13.9,50.0,0.1,6.7,22029,Clear,1023.3
5130.0,2024-10-08T11:43:00Z,London,Autumn,9.8,68.0,28.8,14.6,3744,Rain,1013.3
5131.0,2024-02-26 01:12,London,Winter,2.4,20.0,1.2,15.2,8703,Clear,1016.1
5132.0,2024-04-22 22:24,London,Spring,18.9,68.0,0.3,6.1,893,Clear,960.0
5133.0,,London,Winter,5.2,88.0,2.6,5.6,1866,Storm,1017.1
5134.0,2024-02-21 15:45,London,Winter,2.1,62.0,1.6,24.5,Low,Clear,1031.7
5135.0,,London,Spring,15.7,84.0,0.1,9.1,956,Clear,998.4
5136.0,2024-02-08 17:36,London,Autumn,11.7,75.0,1.0,15.0,31527,Clear,1008.2
5137.0,2024-11-25 04:12,London,Autumn,10.7,21.0,6.4,19.9,5196,Rain,1018.1
5138.0,18/01/2024 07AM,London,Winter,0.9,83.0,11.3,7.3,6061,Clear,1019.5
5139.0,2024-12-08 22:21,London,Winter,-0.6,99.0,2.7,5.2,9109,Rain,996.7
5140.0,,London,Autumn,-30.0,55.0,1.6,5.0,358,Clear,1048.1
5140.0,2024-01-07 16:39,London,Winter,3.0,64.0,163.2,15.4,3597,Clear,1012.2
5142.0,2024-04-10 13:38,London,Spring,15.3,56.0,119.5,18.2,6297,Clear,
5143.0,2024-03-14 03:00,London,Spring,100.0,98.0,1.6,18.7,5078,Rain,1000.5
5144.0,2024-02-24 14:40,London,Winter,-50.0,72.0,91.5,11.8,4574,Snow,987.2
5145.0,2099-13-81 31:74,London,Autumn,11.7,27.0,,3.2,782,Rain,1024.0
5146.0,2024-05-09 11:30,London,Spring,11.3,74.0,0.1,24.4,6189,Snow,
5147.0,2024-06-12 18:00,London,Summer,20.7,85.0,4.6,32.8,9596,Clear,1009.8
5148.0,2024-06-23 05:20,London,Summer,22.2,90.0,2.4,9.8,8642,Rain,1013.5
5149.0,,London,Summer,20.5,150.0,111.5,8.7,7982,Clear,994.5
5150.0,2099-13-48 93:75,London,Spring,9.1,35.0,6.3,25.2,2997,Rain,977.9
5151.0,2024-04-25 00:36,London,Spring,12.7,41.0,1.2,19.1,6641,Clear,1001.5
5152.0,2099-13-61 38:62,London,,16.2,100.0,3.4,3.0,9709,Clear,1032.7
5153.0,2024-02-17 04:12,London,Winter,2.9,95.0,3.4,12.7,8654,Clear,1027.2
5154.0,2024-02-14 00:33,London,Winter,1.1,150.0,8.0,6.2,4766,Clear,1031.6
5155.0,,,Spring,9.2,85.0,3.9,,472,Storm,1008.5
5156.0,2024-03-18 20:32,London,Spring,14.5,35.0,5.4,26.0,1958,,1003.9
5157.0,2024-03-28 05:00,London,Spring,14.1,29.0,3.4,22.9,5252,Rain,1017.2
5158.0,,London,Autumn,9.2,80.0,12.9,34.3,8509,Snow,1035.6
5158.0,2024-02-15 14:30,London,Winter,2.3,68.0,9.3,32.0,3849,Rain,1002.7
5160.0,2024-09-05 21:31,London,Autumn,10.6,56.0,0.4,13.0,,Clear,1007.8
5161.0,2099-13-93 87:98,London,Summer,20.4,72.0,1.9,43.2,6581,Rain,1016.9
5162.0,28/04/2024 10PM,London,Spring,13.2,100.0,141.6,31.0,6262,Clear,1014.6
5163.0,2024-01-02 18:35,London,Winter,5.2,88.0,14.0,38.0,9109,Clear,999.3
5163.0,2024-06-27 06:34,London,Summer,22.5,58.0,20.7,21.1,6240,Clear,1044.6
5165.0,2024-09-12 07:43,London,Autumn,10.4,89.0,1.4,13.1,5164,Clear,996.9
5166.0,2024-01-24 22:36,London,Winter,-2.3,48.0,5.7,5.4,332,,1009.7
5167.0,2024-09-21T11:08:00Z,London,Autumn,9.7,81.0,10.6,16.0,2823,Clear,1026.5
5168.0,2024-01-17 06:00,London,Winter,2.9,83.0,4.7,23.9,6710,Clear,1002.6
5169.0,2024-01-12 23:46,London,Winter,1.0,91.0,62.2,24.9,2705,Clear,1000.5
5170.0,2024-10-10 04:17,London,Autumn,10.7,90.0,7.1,300.0,6138,Rain,989.5
5171.0,2099-13-85 72:93,London,Spring,13.4,37.0,1.3,12.3,141,Rain,1044.0
5172.0,2024-06-17 13:03,London,Summer,24.8,48.0,0.5,12.4,5059,Storm,1024.7
5173.0,16/12/2024 06PM,London,Winter,3.9,92.0,4.0,34.9,9752,Clear,985.4
5174.0,,London,Spring,-30.0,38.0,6.4,8.9,7253,Clear,1026.9
5175.0,2024-06-25 13:44,London,Summer,17.2,60.0,0.4,300.0,9233,Storm,950.0
5176.0,2099-13-81 69:71,London,Autumn,9.6,98.0,190.9,37.6,7293,Rain,1019.9
5177.0,,London,Winter,-1.6,81.0,155.6,23.4,7763,,1024.8
5178.0,2099-13-88 94:66,London,Spring,15.3,30.0,9.5,22.5,8964,Rain,1027.3
5179.0,2024-04-14 16:09,London,Spring,15.0,200.0,110.5,45.3,8266,Clear,1005.6
5180.0,07/03/2024 10PM,London,Spring,10.4,59.0,6.8,21.9,7635,Rain,1005.1
5181.0,2024-10-28 15:06,London,Spring,13.0,30.0,96.2,17.3,2224,Clear,1025.9
5182.0,2024-05-03 00:54,London,Spring,17.9,200.0,7.6,20.4,7417,Snow,1005.0
5183.0,2024-04-19 11:54,London,Spring,-50.0,56.0,2.1,25.8,3502,Snow,1016.7
5183.0,2024-01-26 06:55,London,Winter,1.4,68.0,98.4,19.3,7840,Rain,1015.7
5185.0,2024-01-09 16:57,London,Winter,0.7,93.0,2.1,11.2,7956,Snow,1015.6
5186.0,2024-03-11T07:02:00Z,London,Spring,13.4,-5.0,0.1,10.8,8636,Clear,
5187.0,2024-12-15 19:04,London,Winter,6.4,78.0,5.7,15.8,3074,Clear,988.4
5188.0,08/11/2024 04PM,London,Autumn,11.1,70.0,150.3,26.5,2155,Clear,1032.7
5189.0,2024-04-15 23:48,London,Spring,15.3,95.0,1.6,40.0,76,Clear,1026.0
5190.0,2024-03-29 00:08,London,Spring,12.3,74.0,2.7,5.3,,Snow,1046.2
5191.0,2099-13-62 37:85,London,Summer,22.4,21.0,110.3,14.1,9939,Clear,1014.5
5192.0,2024-01-01T05:01:00Z,London,Winter,1.9,69.0,,15.6,8486,Clear,1035.3
5193.0,2024-04-15 15:10,London,Spring,13.4,52.0,7.4,23.3,6883,Fog,994.1
5194.0,2024-03-12 01:44,London,Spring,13.3,38.0,0.2,250.0,44008,Snow,1038.0
5194.0,2024-08-16 13:59,London,Summer,21.3,85.0,3.3,9.4,4258,Clear,1049.0
5196.0,,London,Summer,20.3,26.0,1.6,9.3,4585,Clear,1007.5
5197.0,2024-07-03 08:56,London,Summer,19.9,79.0,97.7,14.5,4765,Rain,999.2
5198.0,2024-05-05 16:39,London,Spring,15.1,76.0,9.8,6.2,6651,Clear,993.7
5199.0,2024-02-28 20:24,London,Winter,100.0,77.0,1.4,16.1,433,Clear,1050.0
5200.0,2024-04-09 19:04,London,Spring,12.4,47.0,6.1,14.0,6621,Rain,1013.5
5201.0,2024-03-29 19:11,London,Spring,11.9,60.0,0.2,9.3,7413,Clear,1016.9
,2099-13-88 84:71,London,Autumn,-50.0,48.0,5.8,6.4,N/A,Clear,1041.0
5203.0,,London,Autumn,13.5,40.0,0.2,52.7,2223,Rain,1020.2
5204.0,2024-02-26 02:48,London,Winter,1.1,34.0,8.4,35.0,1194,Storm,1039.3
5205.0,,London,Autumn,-30.0,88.0,3.0,19.4,703,Rain,1005.6
5206.0,2024-04-17 12:12,London,Spring,13.0,34.0,0.3,9.6,4383,Clear,1003.3
5207.0,2024-04-22 02:08,London,Spring,13.8,53.0,5.4,10.3,6126,Rain,994.3
5208.0,2024-07-08 18:36,London,Summer,22.0,36.0,28.0,,5013,Rain,1015.4
5209.0,2099-13-73 76:90,London,Summer,19.3,86.0,10.1,3.1,6273,Rain,975.7
5210.0,2024-05-30 19:43,London,Spring,10.2,78.0,,19.7,3791,Rain,1033.9
5210.0,08/04/2024 03PM,London,Spring,15.2,88.0,58.4,16.2,4065,Clear,1026.0
5212.0,2024-02-16 02:19,London,Winter,-1.4,36.0,12.2,24.5,8847,Rain,987.9
5213.0,2024-03-07 01:00,London,Spring,13.5,58.0,12.0,9.3,3241,Clear,1012.5
5214.0,2024-06-22 22:14,London,Summer,23.1,56.0,1.4,14.7,5109,Clear,1034.2
5215.0,2024-03-12 23:00,London,Spring,9.6,58.0,2.5,21.1,1831,Clear,987.1
5216.0,2024-04-18 09:46,London,Spring,15.4,40.0,7.4,3.6,8511,,1007.6
5217.0,2024-03-24 09:34,London,Spring,12.7,62.0,2.1,5.0,142,Clear,1026.0
5218.0,2099-13-69 60:61,London,Summer,16.3,68.0,6.1,12.6,1800,Rain,1006.0
5219.0,2024-05-25 02:33,London,Spring,11.7,-5.0,137.9,60.4,7228,Fog,1033.6
5220.0,2024-02-14 20:52,London,Winter,3.1,45.0,1.2,12.8,4824,Rain,1002.0
5221.0,12/05/2024 07PM,London,Spring,12.2,47.0,13.6,6.6,4233,Rain,1031.3
5222.0,2024-05-29 16:15,London,Spring,13.4,,3.0,1.6,8111,Clear,1050.0
5223.0,2024-03-30 19:01,London,Spring,10.2,93.0,5.6,26.4,4586,Clear,1000.5
5224.0,2024-09-07 08:11,London,Autumn,15.6,75.0,10.1,24.8,5331,Snow,994.7
5225.0,2024-10-07 06:12,London,Autumn,11.4,93.0,4.8,,696,Rain,1035.1
5226.0,2024-08-13 12:36,London,Summer,23.2,47.0,1.2,6.2,Low,Clear,1045.6
5227.0,2024-03-18 13:43,London,Spring,15.0,42.0,7.6,13.6,N/A,Rain,1008.1
5228.0,2024-09-08T04:45:00Z,London,Autumn,13.6,73.0,2.0,34.2,4976,Fog,1024.4
5229.0,2099-13-41 60:80,London,,27.9,86.0,0.6,13.5,4851,Clear,991.1
5230.0,,London,Spring,8.9,23.0,2.5,7.7,473,Clear,1044.1
5230.0,2099-13-98 77:62,London,Spring,,31.0,0.4,10.0,34431,Rain,999.2
5232.0,2024-02-03 08:01,London,Winter,8.1,32.0,2.4,17.4,2386,Clear,1035.5
5233.0,2099-13-46 56:74,London,Summer,16.9,86.0,90.0,3.7,610,Rain,1050.0
5234.0,,London,Spring,14.3,81.0,7.2,150.0,4355,Fog,1007.9
5235.0,,London,,18.9,82.0,13.1,8.7,6037,Clear,1007.4
5236.0,,London,Summer,17.4,90.0,8.1,6.1,Unknown,Clear,1043.3
5237.0,2024-08-03T20:33:00Z,London,Summer,22.1,88.0,1.6,6.9,2763,Rain,1008.5
5238.0,2024-03-11T13:18:00Z,London,Spring,12.8,71.0,195.8,4.7,Low,Clear,981.1
5239.0,2024-02-20T19:24:00Z,London,Winter,3.6,40.0,16.5,42.0,6456,Clear,1011.5
5240.0,,London,Spring,13.7,,4.6,18.5,7230,Storm,999.0
5241.0,2024-06-11 14:56,London,Summer,18.2,-5.0,4.7,36.3,8033,Clear,1007.0
5242.0,22/02/2024 07AM,London,Winter,4.4,75.0,1.6,9.2,4173,Clear,999.5
5243.0,2024-09-19 10:00,London,Autumn,12.1,75.0,4.9,65.0,6207,Rain,988.2
5244.0,2024-03-25 06:45,London,Spring,11.6,150.0,0.5,23.2,5740,Rain,1032.3
5245.0,2024-03-10 14:19,London,Spring,18.0,47.0,1.3,43.5,7531,Snow,979.3
5246.0,,London,Winter,3.5,40.0,2.6,8.6,2868,Rain,1024.4
5247.0,2024-10-27T00:05:00Z,London,Autumn,15.0,71.0,1.6,6.1,5794,Clear,998.8
5248.0,2024-01-06 23:44,London,Winter,0.6,57.0,8.1,17.1,9847,Rain,1019.6
5249.0,2024-10-02 15:05,London,Autumn,13.3,57.0,98.6,1.9,4535,Rain,1020.5
5250.0,2099-13-68 52:69,London,Winter,6.7,91.0,3.1,22.7,6392,Rain,993.2
5251.0,2024-10-15 12:52,London,Autumn,12.9,37.0,3.8,15.3,8364,Clear,994.9
5252.0,2024-01-23 00:20,London,Winter,60.0,26.0,5.5,10.7,7397,Snow,984.9
5253.0,2024-03-24 07:04,London,Spring,12.7,23.0,9.2,28.9,7457,Rain,1016.8
5254.0,2024-01-08T23:35:00Z,London,Winter,1.7,20.0,0.7,24.1,1092,Clear,1024.6
5255.0,11/04/2024 11AM,London,Spring,9.8,35.0,2.2,7.6,6297,Snow,976.3
5256.0,2024-02-24 04:10,London,Winter,3.8,49.0,2.5,62.9,9981,Snow,990.4
5257.0,2024-05-11 21:34,,Summer,,92.0,9.5,16.6,5706,Snow,1014.6
5258.0,2024-01-23 11:06,London,Winter,2.3,76.0,2.4,200.0,4824,Storm,1018.3
5259.0,2024-10-14 17:06,London,Autumn,12.2,90.0,7.8,10.9,2366,Clear,1008.3
5260.0,2024-05-15 16:33,London,Spring,9.9,95.0,18.6,40.0,8765,Fog,1012.5
5261.0,2024-05-03 15:00,London,Spring,14.5,82.0,4.7,9.6,,Clear,1023.6
5262.0,2024-02-10 22:16,London,Winter,1.6,60.0,0.4,6.9,,Clear,1014.1
5263.0,2024-05-07 05:08,London,Spring,13.8,43.0,16.9,2.5,305,Clear,1000.1
5264.0,2024-04-21 04:17,London,Spring,13.2,69.0,1.2,8.4,4280,Rain,1008.7
5265.0,17/11/2024 09AM,London,Autumn,14.7,73.0,0.3,10.4,220,Clear,1004.8
5266.0,03/10/2024 12PM,London,Autumn,12.2,43.0,0.3,150.0,9390,Rain,1000.4
5267.0,2024-04-24 20:50,London,Spring,8.7,81.0,4.9,31.4,4010,Clear,985.7
5268.0,2024-04-09T10:48:00Z,London,Spring,60.0,21.0,2.3,13.9,974,Fog,1030.6
5269.0,2024-04-07 14:40,London,Spring,14.4,51.0,0.1,10.3,1117,Clear,961.2
5270.0,,London,Winter,,27.0,3.8,22.3,1261,Clear,993.1
5271.0,2024-02-09 19:04,London,Winter,2.4,52.0,118.2,2.0,2415,Clear,1050.0
5272.0,2024-05-29 14:25,London,Spring,9.5,72.0,2.0,16.2,6698,Clear,985.6
5273.0,2024-02-14 19:12,London,Winter,-1.5,47.0,3.1,20.6,7641,Fog,1017.1
5274.0,2024-04-02 04:55,London,Spring,15.4,99.0,2.9,6.0,Very Poor,Fog,1050.0
5275.0,04/01/2024 07PM,London,Winter,1.0,45.0,5.4,20.5,8743,Clear,1029.0
5276.0,2024-05-09 08:30,London,Spring,9.5,65.0,6.7,17.5,39118,Rain,1005.7
5277.0,2024-05-14 04:12,London,Spring,13.0,99.0,0.4,8.3,4136,,1039.0
5278.0,2024-12-04T16:06:00Z,London,Winter,5.5,66.0,5.4,9.5,N/A,Clear,
5279.0,2024-05-31 00:24,London,Spring,13.2,45.0,7.2,9.1,8155,Clear,1032.9
5280.0,2099-13-52 90:77,,,,41.0,4.9,5.2,7555,Rain,1003.0
5280.0,2099-13-99 26:96,London,Autumn,12.9,68.0,3.8,38.0,5722,Snow,1000.1
5282.0,,London,Summer,22.5,36.0,19.6,43.4,1481,Fog,1049.0
5282.0,2099-13-95 34:69,London,,6.5,62.0,2.1,21.7,1379,Clear,992.1
5284.0,20/07/2024 07PM,London,Summer,14.8,45.0,2.9,25.3,1053,Clear,1016.0
5285.0,2024-01-27 01:36,London,Winter,3.0,44.0,5.2,14.6,9905,Fog,1009.7
5286.0,2024-09-27 04:03,London,Summer,20.8,83.0,7.0,37.8,7356,Fog,1010.2
5287.0,,London,Winter,-0.1,65.0,3.9,24.0,,Snow,1021.0
